iter	Passed	Remaining
400	28998	43316
401	29071	43246
402	29143	43172
403	29214	43097
404	29287	43026
405	29360	42955
406	29431	42882
407	29507	42814
408	29579	42742
409	29650	42667
410	29723	42596
411	29794	42522
412	29867	42450
413	29941	42380
414	30011	42305
415	30081	42230
416	30155	42159
417	30228	42088
418	30299	42014
419	30373	41944
420	30447	41874
421	30519	41802
422	30591	41728
423	30661	41653
424	30733	41581
425	30808	41511
426	30878	41436
427	30949	41362
428	31023	41291
429	31093	41216
430	31163	41141
431	31237	41071
432	31310	40999
433	31380	40925
434	31453	40853
435	31525	40781
436	31594	40704
437	31700	40674
438	31771	40600
439	31842	40526
440	31915	40455
441	31988	40383
442	32059	40309
443	32133	40238
444	32202	40162
445	32275	40090
446	32349	40020
447	32422	39949
448	32496	39879
449	32570	39808
450	32642	39735
451	32713	39662
452	32786	39590
453	32858	39517
454	32931	39444
455	33005	39374
456	33076	39301
457	33146	39225
458	33221	39156
459	33294	39085
460	33368	39014
461	33439	38940
462	33514	38871
463	33585	38797
464	33661	38729
465	33731	38654
466	33804	38582
467	33878	38511
468	33950	38438
469	33986	38324
470	34059	38253
471	34130	38179
472	34201	38106
473	34273	38032
474	34348	37963
475	34418	37889
476	34491	37818
477	34563	37744
478	34637	37674
479	34708	37600
480	34781	37529
481	34854	37457
482	34925	37383
483	34997	37311
484	35068	37237
485	35139	37163
486	35212	37092
487	35283	37019
488	35354	36944
489	35427	36873
490	35500	36801
491	35571	36727
492	35645	36657
493	35715	36583
494	35789	36512
495	35874	36452
496	35946	36380
497	36019	36308
498	36090	36235
499	36162	36162
500	36234	36089
501	36308	36019
502	36377	35943
503	36447	35868
504	36519	35796
505	36593	35725
506	36666	35653
507	36740	35583
508	36814	35512
509	36885	35439
510	36956	35365
511	37026	35290
512	37098	35218
513	37169	35144
514	37242	35072
515	37313	34999
516	37387	34928
517	37459	34855
518	37530	34782
519	37606	34713
520	37680	34642
521	37753	34570
522	37825	34498
523	37898	34426
524	37970	34354
525	38042	34282
526	38115	34209
527	38187	34137
528	38260	34065
529	38332	33992
530	38402	33918
531	38473	33845
532	38545	33772
533	38615	33698
534	38688	33626
535	38757	33551
536	38832	33481
537	38906	33410
538	38978	33337
539	39049	33264
540	39120	33190
541	39192	33118
542	39263	33044
543	39338	32975
544	39410	32902
545	39480	32828
546	39553	32756
547	39626	32684
548	39697	32610
549	39770	32539
550	39841	32466
551	39913	32393
552	39986	32322
553	40060	32250
554	40131	32177
555	40202	32103
556	40274	32031
557	40344	31957
558	40416	31884
559	40487	31811
560	40559	31738
561	40630	31665
562	40702	31593
563	40774	31521
564	40846	31448
565	40918	31375
566	40993	31305
567	41071	31237
568	41142	31164
569	41212	31090
570	41285	31018
571	41356	30945
572	41429	30873
573	41500	30799
574	41570	30726
575	41642	30653
576	41715	30582
577	41788	30509
578	41859	30436
579	41932	30365
580	42004	30292
581	42075	30219
582	42149	30147
583	42219	30074
584	42293	30002
585	42369	29933
586	42442	29861
587	42516	29790
588	42585	29716
589	42659	29645
590	42731	29572
591	42808	29502
592	42877	29428
593	42947	29355
594	43023	29285
595	43100	29215
596	43173	29143
597	43246	29071
598	43318	28999
599	43389	28926
600	43461	28853
601	43531	28780
602	43602	28706
603	43675	28635
604	43745	28561
605	43817	28488
606	43891	28417
607	43962	28344
608	44035	28272
609	44106	28199
610	44179	28127
611	44249	28053
612	44321	27980
613	44392	27907
614	44462	27834
615	44537	27763
616	44609	27691
617	44680	27618
618	44753	27546
619	44828	27475
620	44899	27402
621	44970	27329
622	45042	27256
623	45114	27184
624	45191	27114
625	45263	27042
626	45337	26971
627	45408	26898
628	45480	26825
629	45552	26752
630	45650	26695
631	45721	26622
632	45793	26550
633	45864	26476
634	45936	26404
635	46008	26331
636	46078	26258
637	46150	26185
638	46221	26112
639	46298	26042
640	46370	25970
641	46444	25898
642	46515	25826
643	46588	25754
644	46658	25680
645	46734	25609
646	46806	25537
647	46879	25465
648	46967	25401
649	47042	25330
650	47114	25258
651	47187	25186
652	47260	25113
653	47335	25042
654	47407	24970
655	47477	24896
656	47549	24824
657	47621	24751
658	47691	24677
659	47762	24604
660	47835	24532
661	47905	24459
662	47976	24386
663	48052	24315
664	48122	24242
665	48194	24169
666	48264	24096
667	48335	24023
668	48406	23950
669	48481	23878
670	48555	23807
671	48628	23735
672	48699	23662
673	48772	23590
674	48844	23517
675	48916	23445
676	48986	23371
677	49058	23299
678	49129	23226
679	49199	23152
680	49270	23079
681	49343	23007
682	49418	22936
683	49493	22865
684	49565	22792
685	49636	22720
686	49709	22647
687	49787	22577
688	49857	22504
689	49930	22432
690	50002	22359
691	50072	22286
692	50141	22212
693	50213	22140
694	50284	22067
695	50355	21994
696	50428	21922
697	50501	21850
698	50570	21776
699	50643	21704
700	50713	21631
701	50784	21558
702	50858	21486
703	50931	21414
704	51002	21341
705	51075	21269
706	51147	21196
707	51218	21123
708	51291	21051
709	51360	20978
710	51433	20906
711	51514	20837
712	51587	20765
713	51658	20692
714	51729	20619
715	51801	20547
716	51872	20474
717	51944	20401
718	52014	20328
719	52085	20255
720	52158	20183
721	52227	20109
722	52298	20037
723	52371	19964
724	52440	19891
725	52510	19817
726	52581	19745
727	52651	19671
728	52722	19599
729	52794	19526
730	52865	19453
731	52943	19383
732	53016	19311
733	53090	19239
734	53162	19167
735	53239	19096
736	53314	19025
737	53384	18952
738	53453	18878
739	53525	18806
740	53596	18733
741	53673	18662
742	53746	18590
743	53817	18517
744	53889	18445
745	53963	18373
746	54037	18301
747	54109	18229
748	54181	18156
749	54252	18084
750	54325	18012
751	54396	17939
752	54468	17866
753	54544	17795
754	54617	17723
755	54690	17651
756	54761	17578
757	54833	17506
758	54919	17438
759	55002	17369
760	55072	17296
761	55144	17223
762	55218	17151
763	55289	17078
764	55360	17006
765	55435	16934
766	55504	16861
767	55575	16788
768	55647	16715
769	55720	16643
770	55793	16571
771	55866	16499
772	55939	16427
773	56013	16355
774	56087	16283
775	56158	16210
776	56229	16137
777	56302	16065
778	56374	15993
779	56445	15920
780	56516	15847
781	56588	15775
782	56661	15703
783	56737	15631
784	56811	15559
785	56884	15487
786	56957	15415
787	57029	15342
788	57100	15270
789	57174	15198
790	57247	15126
791	57319	15053
792	57389	14980
793	57462	14908
794	57532	14835
795	57605	14763
796	57677	14690
797	57751	14618
798	57823	14546
799	57862	14465
800	57936	14393
801	58010	14321
802	58081	14249
803	58152	14176
804	58225	14104
805	58299	14032
806	58372	13960
807	58442	13887
808	58518	13815
809	58590	13743
810	58662	13671
811	58734	13598
812	58806	13526
813	58877	13453
814	58951	13381
815	59024	13309
816	59094	13236
817	59165	13163
818	59235	13091
819	59305	13018
820	59342	12938
821	59412	12865
822	59485	12793
823	59558	12721
824	59642	12651
825	59717	12579
826	59791	12507
827	59863	12435
828	59933	12362
829	60008	12290
830	60085	12219
831	60157	12147
832	60229	12074
833	60305	12003
834	60376	11930
835	60448	11858
836	60517	11785
837	60588	11712
838	60659	11640
839	60758	11573
840	60830	11500
841	60901	11428
842	60975	11356
843	61048	11283
844	61117	11210
845	61189	11138
846	61262	11066
847	61334	10993
848	61405	10921
849	61476	10848
850	61548	10776
851	61620	10703
852	61689	10631
853	61761	10558
854	61833	10486
855	61904	10413
856	61978	10341
857	62055	10270
858	62127	10197
859	62203	10126
860	62275	10053
861	62348	9981
862	62420	9909
863	62491	9836
