iter	MultiClass
0	2.16049929
1	2.11934392
2	2.08653415
3	2.047676347
4	2.00603517
5	1.974715303
6	1.947358343
7	1.922934096
8	1.895267599
9	1.874088434
10	1.846137666
11	1.829924564
12	1.808548036
13	1.785668747
14	1.764729164
15	1.738942581
16	1.716765653
17	1.698939817
18	1.683370814
19	1.665183707
20	1.648434034
21	1.630624925
22	1.616275096
23	1.599988721
24	1.58102866
25	1.558744679
26	1.545111044
27	1.531098693
28	1.513794271
29	1.494386946
30	1.478934452
31	1.466805661
32	1.455566053
33	1.441036956
34	1.427026986
35	1.417899562
36	1.407372582
37	1.394474748
38	1.383532313
39	1.369678084
40	1.357690761
41	1.346544371
42	1.333188768
43	1.319212821
44	1.309065276
45	1.298015112
46	1.289916297
47	1.280241749
48	1.267036162
49	1.255871785
50	1.250102492
51	1.239378212
52	1.230330908
53	1.222735735
54	1.215604808
55	1.207760966
56	1.200486928
57	1.19226007
58	1.186631239
59	1.179573208
60	1.170048936
61	1.164080452
62	1.156484156
63	1.148345136
64	1.13764955
65	1.129162292
66	1.12118652
67	1.114549987
68	1.106656141
69	1.099504112
70	1.095178064
71	1.089908555
72	1.078894016
73	1.069847468
74	1.064756752
75	1.057079045
76	1.051804522
77	1.049201968
78	1.041605859
79	1.035584819
80	1.031521694
81	1.025158218
82	1.022168508
83	1.01847546
84	1.013668146
85	1.009339471
86	1.004967207
87	0.9973072185
88	0.993548074
89	0.9890558921
90	0.9849252551
91	0.9801177664
92	0.9748860371
93	0.9673699904
94	0.9596975724
95	0.957034637
96	0.9481003145
97	0.9451956972
98	0.9417220676
99	0.9357621788
100	0.9325493283
101	0.9281928146
102	0.9189975931
103	0.9131697906
104	0.9074457528
105	0.9018344425
106	0.8977956906
107	0.8954427449
108	0.8904765788
109	0.8822366067
110	0.8766763879
111	0.8698165439
112	0.8649353838
113	0.8598376505
114	0.8548878598
115	0.850327675
116	0.8477482962
117	0.8454466158
118	0.8411606914
119	0.8356035108
120	0.8277954968
121	0.824350369
122	0.8211456953
123	0.8145742446
124	0.8098653632
125	0.8056200034
126	0.8007290465
127	0.7945133705
128	0.788907292
129	0.7843639345
130	0.7792634553
131	0.7721394861
132	0.768934098
133	0.7675536698
134	0.7655191593
135	0.7597806789
136	0.7547255047
137	0.7525184607
138	0.7493996176
139	0.7467728167
140	0.7424312267
141	0.7410018722
142	0.7372374753
143	0.7351858276
144	0.7327882521
145	0.726865161
146	0.7245489612
147	0.7216561922
148	0.7200176826
149	0.7164031487
150	0.7148971813
151	0.7127086868
152	0.7078747738
153	0.7018775051
154	0.6996949601
155	0.697569791
156	0.6945447967
157	0.6901726181
158	0.683739629
159	0.6816459463
160	0.6783741217
161	0.6739738592
162	0.6716010738
163	0.6679282153
164	0.6637499572
165	0.6615746353
166	0.6568758747
167	0.6554860658
168	0.6521389663
169	0.650233904
170	0.6495034372
171	0.6464522442
172	0.6438623281
173	0.6412634657
174	0.6382579972
175	0.6372897603
176	0.6357320285
177	0.6333933137
178	0.6313824779
179	0.6295192457
180	0.6281975696
181	0.6257466407
182	0.6239206272
183	0.6188898031
184	0.6159355437
185	0.6129913134
186	0.6101766745
187	0.6054916639
188	0.6045014646
189	0.6006562621
190	0.599612523
191	0.596087897
192	0.5923257763
193	0.5887938029
194	0.5876083093
195	0.5859758189
196	0.585219226
197	0.583274987
198	0.5788516166
199	0.5773671319
200	0.5745829892
201	0.571805374
202	0.5699600082
203	0.5673425591
204	0.5642951769
205	0.5612064629
206	0.559601232
207	0.5566121866
208	0.555767607
209	0.5551894631
210	0.5529901789
211	0.5513819382
212	0.5487039568
213	0.5480206245
214	0.5450672674
215	0.5421202147
216	0.5400471303
217	0.5373154994
218	0.5335310659
219	0.5323310882
220	0.5318475422
221	0.5291973784
222	0.5272342418
223	0.5256798397
224	0.5244541718
225	0.5219742277
226	0.5206430966
227	0.5174373855
228	0.5158745454
229	0.5127102497
230	0.5104096325
231	0.50754452
232	0.5052563193
233	0.5024537947
234	0.5014661935
235	0.5002271697
236	0.4982133235
237	0.4967944757
238	0.4960509572
239	0.4939782125
240	0.4921539472
241	0.491354173
242	0.4903660133
243	0.488705772
244	0.485763565
245	0.4844107954
246	0.4820682568
247	0.4803143734
248	0.4795148483
249	0.4787743105
250	0.4777939158
251	0.4757160451
252	0.4726182308
253	0.4707641912
254	0.468156879
255	0.4659821909
256	0.4625152448
257	0.4595343974
258	0.4563394501
259	0.4554966629
260	0.4543112675
261	0.452771135
262	0.4512952107
263	0.4506300975
264	0.4492448347
265	0.4469806503
266	0.4454265445
267	0.4430789347
268	0.4426083012
269	0.4389855589
270	0.4370417899
271	0.4358818948
272	0.4349611178
273	0.4340401161
274	0.432002945
275	0.4311190189
276	0.4290143649
277	0.426149125
278	0.4246304961
279	0.4226630855
280	0.419947115
281	0.4170365345
282	0.4150769569
283	0.4127371497
284	0.409394223
285	0.4079707743
286	0.4061196552
287	0.4048937105
288	0.4023581798
289	0.4008333205
290	0.3986253503
291	0.3977094632
292	0.3962482287
293	0.3950883808
294	0.3933176844
295	0.390860756
296	0.3900837336
297	0.3894710894
298	0.3880486705
299	0.3859587602
300	0.384413728
301	0.3835124127
302	0.3823925573
303	0.3810288168
304	0.380534711
305	0.3792747084
306	0.3780192276
307	0.3769771662
308	0.3754613559
309	0.3738886628
310	0.3725112228
311	0.3711804918
312	0.3693957203
313	0.3673709285
314	0.3655520799
315	0.3648617506
316	0.3639585185
317	0.3631802998
318	0.3617987478
319	0.3604175616
320	0.359849354
321	0.3585858555
322	0.3573541635
323	0.3553871057
324	0.3546081483
325	0.3539478077
326	0.3532159028
327	0.3516733227
328	0.3492711184
329	0.3485498004
330	0.3464244543
331	0.3446993689
332	0.3431627987
333	0.3413896488
334	0.3410544925
335	0.3404865883
336	0.3401897878
337	0.3398086879
338	0.3381357097
339	0.3376477683
340	0.3367167745
341	0.3353194212
342	0.3343428563
343	0.3331118348
344	0.3314179271
345	0.3296230542
346	0.3274191394
347	0.3270013092
348	0.3264096122
349	0.3256045494
350	0.3250913743
351	0.3247888486
352	0.3244108031
353	0.3233568426
354	0.3231019204
355	0.3223783341
356	0.3213691764
357	0.3206150334
